years,Continent,MeanD,SdD1,UndC,UNDIST,n,SED,Ratio1_t1,YY,Class_F,Continent_F
1,Africa,11.74394845,2.212095766,63214,14.91642248,71,14.82993505,21.26833051,Regrowth,Regrowth,Africa
1,Americas,10.23963122,2.590201409,136419,13.50829191,185,19.17489958,24.19743894,Regrowth,Regrowth,Americas
1,Asia,12.6855078,3.28339636,60903,16.12934186,136,20.35666668,21.35136135,Regrowth,Regrowth,Asia
10,Africa,9.457402271,2.615090381,777,15.24243959,37,17.1566393,37.95348694,Regrowth,Regrowth,Africa
10,Americas,7.093134396,2.752077447,28008,13.52118048,162,20.35382526,47.5405686,Regrowth,Regrowth,Americas
10,Asia,9.617573743,3.358254741,8900,16.48656542,97,20.36964435,41.66417627,Regrowth,Regrowth,Asia
11,Africa,8.091805571,2.954440735,1024,14.8995859,38,19.8290124,45.69107071,Regrowth,Regrowth,Africa
11,Americas,6.871714258,2.639775293,19779,13.57137824,158,19.45104798,49.36612821,Regrowth,Regrowth,Americas
11,Asia,9.829299819,3.264469875,4540,16.21303344,81,20.13484946,39.37408531,Regrowth,Regrowth,Asia
12,Africa,8.325198694,2.928211581,944,15.26519797,34,19.1822706,45.46288419,Regrowth,Regrowth,Africa
12,Americas,6.448249356,2.973026214,11549,13.44684286,158,22.10947392,52.04636936,Regrowth,Regrowth,Americas
12,Asia,9.382992705,2.806426312,5477,16.47420739,96,17.03527366,43.04434512,Regrowth,Regrowth,Asia
13,Africa,7.690094591,3.188115702,1016,14.93944275,30,21.34025851,48.52488997,Regrowth,Regrowth,Africa
13,Americas,6.72543491,2.786177638,13308,13.55570781,155,20.55353861,50.38669314,Regrowth,Regrowth,Americas
13,Asia,9.274729176,3.263781443,8251,16.56510232,105,19.7027545,44.01043233,Regrowth,Regrowth,Asia
14,Africa,7.230286031,3.081819578,966,15.11654477,30,20.38706347,52.16971775,Regrowth,Regrowth,Africa
14,Americas,6.610931947,2.863060519,10304,13.49812087,154,21.21080813,51.02331644,Regrowth,Regrowth,Americas
14,Asia,9.009885691,3.596097283,4957,16.60611531,91,21.65525902,45.74356782,Regrowth,Regrowth,Asia
15,Africa,7.804426018,2.72194588,538,14.8730521,26,18.30119239,47.52639899,Regrowth,Regrowth,Africa
15,Americas,6.31642627,2.880519976,8228,13.48744395,146,21.35704872,53.16809996,Regrowth,Regrowth,Americas
15,Asia,9.122548703,3.529976162,4025,16.71222324,90,21.12212188,45.41391308,Regrowth,Regrowth,Asia
16,Africa,7.894166081,3.299916213,239,15.43111365,20,21.38482217,48.84253814,Regrowth,Regrowth,Africa
16,Americas,6.481860955,2.779287922,7827,13.46064512,143,20.64750907,51.84583728,Regrowth,Regrowth,Americas
16,Asia,9.048167378,3.364408615,1459,16.33873932,77,20.5916047,44.62138602,Regrowth,Regrowth,Asia
17,Africa,7.234577149,2.805993376,480,14.34208401,14,19.56475345,49.55700201,Regrowth,Regrowth,Africa
17,Americas,6.069485428,3.029902235,7391,13.51158578,133,22.42447543,55.07939982,Regrowth,Regrowth,Americas
